index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Crescent Moon	271	100	1		1	1	58	50	jew	Amulet		5	5000	lblu	lblu		1				manasteal		11	15	red-mag		10	10	dmg-to-mana		10	10	light		-2	-2	mana		45	45	lifesteal		3	6																										0
Mara's Kaleidoscope	272	100	1		1	1	80	67	jew	Amulet		5	5000	oran	oran		1				allskills		2	2	res-all		20	30	str		5	5	dex		5	5	vit		5	5	enr		5	5																										0
Atma's Scarab	273	100	1		1	1	60	60	jew	Amulet		5	5000	cgrn	cgrn		1				dmg-pois	100	102	102	res-pois		75	75	light		3	3	thorns		5	5	hit-skill	66	5	2	att%		20	20																										0
Dwarf Star	274	100	1		1	1	53	45	jew	Ring		5	5000	dgry	dgry		1				gold%		100	100	stam		40	40	regen-stam		15	15	hp		40	40	red-mag		12	15	abs-fire%		15	15																										0
Raven Frost	275	100	1		1	1	53	45	jew	Ring		5	5000	cblu	cblu		1				nofreeze		1	1	dmg-cold	100	15	45	abs-cold%		20	20	mana		40	40	dex		15	20	att		150	250																										0
Highlord's Wrath	276	100	1		1	1	73	65	jew	Amulet		5	5000	bwht	bwht		1				res-ltng		35	35	dmg-ltng		1	30	swing2		20	20	allskills		1	1	deadly/lvl	3			light-thorns		15	15																										0
Saracen's Chance	277	100	1		1	1	55	47	jew	Amulet		5	5000	dpur	dpur		1				res-all		15	25	gethit-skill	76	10	2	str		12	12	dex		12	12	enr		12	12	vit		12	12																										0
Class Specific						1																																																																0
Arreat's Face	279	100	1		1	1	50	42	jew	Slayer Guard		5	5000				1				bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		3	6	res-all		30	30														0
Homunculus	280	100	1		1	1	50	42	jew	Heirophant Trophy		5	5000				1				nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		5	5	res-all		40	40														0
Titan's Revenge	281	100	1		1	1	50	42	jew	Ceremonial Javelin		5	5000				1				ama		2	2	skilltab	2	2	2	dmg%		150	200	move2		30	30	rep-quant	30			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	stack		60	60										0
Lycander's Aim	282	100	1		1	1	50	42	jew	Ceremonial Bow		5	5000				1				ama		2	2	skilltab	0	2	2	dmg%		150	200	swing2		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50														0
Lycander's Flank	283	100	1		1	1	50	42	jew	Ceremonial Pike		5	5000				1				ama		2	2	skilltab	2	2	2	dmg%		150	200	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50														0
The Oculus	284	100	1		1	1	50	42	jew	Swirling Crystal		5	5000				1				sor		3	3	gethit-skill	54	25	1	res-all		20	20	cast2		30	30	ac%		20	20	vit		20	20	enr		20	20	mana-kill		5	5	mag%		50	50														0
Herald of Zakarum	285	100	1		1	1	50	42	jew	Aerin Shield		5	5000				1				pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		20	20	res-all		50	50														0
Cutthroat1	286	100	1		1	1	50	42	jew	Runic Talons		5	5000				1				ass		2	2	skilltab	20	1	1	dmg%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50														0
Jalal's Mane	287	100	1		1	1	50	42	jew	Dream Spirit		5	5000				1				dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	enr		20	20	mana-kill		5	5	res-all		30	30														0
The Scalper	288	100	1		1	1	65	57	jew	Francisca		5	5000				1				rep-quant	30			dmg%		150	200	att%		25	25	swing2		20	20	openwounds		33	33	lifesteal		4	6	mana-kill		4	4																						0
Bloodmoon	289	100	1		1	1	69	61	jew	elegant blade		5	5000	cred	cred		1				dmg%		210	260	lifesteal		10	15	charged	BloodGolem	9	15	heal-kill		7	13	openwounds		50	50																														0
Djinnslayer	290	100	1		1	1	73	65	jew	ataghan		5	5000	dpur	dpur		1				dmg%		190	240	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	sock		1	2																						0
Deathbit	291	100	1		1	1	52	44	jew	battle dart		5	5000				1				deadly		40	40	dmg%		130	180	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	25																												0
Warshrike	292	100	1		1	1	83	75	jew	winged knife		5	5000	bwht	bwht		1				dmg%		200	250	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	30			hit-skill	Nova	25	9																										0
Gutsiphon	293	100	1		1	1	79	71	jew	demon crossbow		5	5000	lgrn	lgrn		1				dmg%		160	220	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		33	33																														0
Razoredge	294	100	1		1	1	75	67	jew	tomahawk		5	5000	lblu			1				dmg%		175	225	swing2		40	40	reduce-ac		33	33	deadly		50	50	openwounds		50	50																														0
Gore Ripper	295	100			1	1			jew			5	5000	dred	dred		1																																																					0
Demonlimb	296	100	1		1	1	71	63	jew	tyrant club		5	5000	dgrn	dgrn		1				dmg%		180	230	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	20	23	rep-dur	5			dmg-demon		123	123	res-fire		15	20																						0
Steelshade	297	100	1		1	1	70	62	jew	armet		5	5000	blac	blac		1				ac%		100	130	abs-fire		5	11	manasteal		4	8	regen		10	18																																		0
Tomb Reaver	298	100	1		1	1	86	84	jew	cryptic axe		5	5000	lyel	lyel		1				swing2		60	60	light		4	4	dmg%		200	280	dmg-undead		150	230	mag%		50	80	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	sock		1	3										0
Deaths's Web	299	100	1		1	1	74	66	jew	unearthed wand		5	5000	bwht	bwht		1				allskills		2	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2																														0
Nature's Peace	300	100	1		1	1	77	69	jew	ring		5	5000	dgrn	dgrn		1				noheal		1	1	rip		1	1	red-dmg		7	11	res-pois		20	30	charged	Oak Sage	27	5																														0
Azurewrath	301	100	1		1	1	87	85	jew	phase blade		5	5000	lgry			1				dmg-mag		250	500	dmg%		230	270	aura-display	Sanctuary	10	13	dmg-cold	250	250	500	swing2		30	30	all-stats		5	10	light		3	3	allskills		1	1																		0
Seraph's Hymn	302	100	1		1	1	73	65	jew	amulet		5	5000	bwht	bwht		1				allskills		2	2	skilltab	11	1	2	dmg-demon		25	50	dmg-undead		25	50	att-demon		150	250	att-undead		150	250	light		2	2																						0
Zakarum's Salvation	303	100			1	1			jew			5	5000				1																																																					0
Fleshripper	304	100	1		1	1	76	68	jew	fanged knife		5	5000	dred	dred		1				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																						0
Odium	305	100			1	1			jew			5	5000	blac			1																																																					0
Horizon's Tornado	306	100	1		1	1	72	64	jew	scourge		5	5000	dpur	dpur		1				dmg%		230	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	-20																														0
Stone Crusher	307	100	1		1	1	76	68	jew	legendary mallet		5	5000	whit			1				dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																										0
Jadetalon	308	100	1		1	1	74	66	jew	wrist sword		5	5000	cgrn	cgrn		1				dmg%		190	240	manasteal		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																										0
Shadowdancer	309	100	1		1	1	79	71	jew	myrmidon greaves		5	5000	blac	blac		1				ac%		70	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	ease		-20	-20																										0
Cerebus	310	100	1		1	1	71	63	jew	blood spirit		5	5000	bwht	bwht		1				ac%		130	140	skilltab	16	2	4	lifesteal		7	10	att%		60	120	openwounds		33	33	skill	feral rage	1	2																										0
Tyrael's Might	311	100	1		1	1	87	84	jew	sacred armor		5	5000	dblu	dblu		1				ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		50	100	nofreeze		1	1	move2		20	20	res-all		20	30	str		20	30														0
Souldrain	312	100	1		1	1	82	74	jew	vambraces		5	5000	dred	dred		1				ac%		90	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																														0
Runemaster	313	100	1		1	1	80	72	jew	ettin axe		5	5000	lblu	lblu		1				dmg%		220	270	sock		3	5	res-cold-max		5	5	nofreeze		1	1																																		0
Deathcleaver	314	100	1		1	1	78	70	jew	berserker axe		5	5000	dred			1				dmg%		230	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9																														0
Executioner's Justice	315	100	1		1	1	83	75	jew	glorious axe		5	5000	blac	blac		1				dmg%		240	290	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	6	swing2		30	30																														0
Stoneraven	316	100	1		1	1	72	64	jew	matriarchal spear		5	5000	dgry			1				dmg%		230	280	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																														0
Leviathan	317	100	1		1	1	73	65	jew	kraken shell		5	5000	cgrn	cgrn		1				ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																														0
Larzuk's Champion	318	100			1	1			jew			5	5000	lgry		flphmr	1																																																					0
Wisp	319	100	1		1	1	84	76	jew	ring		5	5000	bwht	bwht		1				abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																										0
Gargoyle's Bite	320	100	1		1	1	78	70	jew	winged harpoon		5	5000	cgrn	cgrn		1				dmg%		180	230	rep-quant	30			dmg-pois	250	300	300	lifesteal		9	15	charged	Plague Javelin	60	11																														0
Lacerator	321	100	1		1	1	76	68	jew	winged axe		5	5000	blac	blac		1				dmg%		150	210	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3																						0
Mang Song's Lesson	322	100	1		1	1	86	82	jew	archon staff		5	5000	dgld	dgld		1				allskills		5	5	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	10	cast2		30	30																										0
Viperfork	323	100	1		1	1	79	71	jew	war fork		5	5000	dgrn	dgrn		1				dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50																										0
Ethereal Edge	324	100	1		1	1	82	74	jew	silver-edged axe		5	5000	whit	whit		1				dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																		0
Demonhorn's Edge	325	100	1		1	1	69	61	jew	destroyer helm		5	5000	dgry	dgry		1				ac%		120	160	swing2		10	10	lifesteal		3	6	thorns		55	77	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																						0
The Reaper's Toll	326	100	1		1	1	83	75	jew	thresher		5	5000				1				dmg%		190	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		33	33	dmg-cold		4	44																						0
Spiritkeeper	327	100	1		1	1	75	67	jew	earth spirit		5	5000				1				ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2																						0
Hellrack	328	100	1		1	1	84	76	jew	colossus crossbow		5	5000	cred			1				dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	2	charged	Immolation Arrow	150	18																										0
Alma Negra	329	100	1		1	1	85	77	jew	sacred rondache		5	5000	blac	blac		1				ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att%		40	75	dmg%		40	75																						0
Darkforge Spawn	330	100	1		1	1	72	64	jew	bloodlord skull		5	5000	cred	cred		1				ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3																										0
Widowmaker	331	100	1		1	1	73	65	jew	ward bow		5	5000	dred	dred		1				dmg%		150	200	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	Guided Arrow	3	5																														0
Bloodraven's Charge	332	100	1		1	1	79	71	jew	matriarchal bow		5	5000	dgld	dgld		1				dmg%		180	230	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5																														0
Ghostflame	333	100	1		1	1	70	62	jew	legend spike		5	5000	cblu	cblu		1				dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2																						0
Shadowkiller	334	100	1		1	1	85	78	jew	battle cestus		5	5000				1				dmg%		170	220	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1																						0
Gimmershred	335	100	1		1	1	78	70	jew	flying axe		5	5000	lgrn			1				dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		60	60	swing2		30	30																										0
Griffon's Eye	336	100	1		1	1	84	76	jew	diadem		5	5000				1				ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	15	pierce-ltng		15	20																														0
Windhammer	337	100	1		1	1	76	68	jew	ogre maul		5	5000	cblu	cblu		1				dmg%		180	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																		0
Thunderstroke	338	100	1		1	1	77	69	jew	matriarchal javelin		5	5000	dblu	dblu		1				dmg%		150	200	dmg-ltng		1	511	hit-skill	Lightning	20	14	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	2	4																						0
Giantmaimer	339	100			1	1			jew			5	5000	cred	cred		1																																																					0
Demon's Arch	340	100	1		1	1	76	68	jew	balrog spear		5	5000	cred	cred		1				dmg%		160	210	dmg-fire		232	323	lifesteal		6	12	rep-quant	30			swing2		30	30	dmg-ltng		23	333																										0
Boneflame	341	100	1		1	1	80	72	jew	succubae skull		3	5000	dred	dred		1				ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		2	3	res-all		20	30																														0
Steelpillar	342	100	1		1	1	77	69	jew	war pike		3	5000				1				dmg%		210	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																										0
Nightwing's Veil	343	100	1		1	1	75	67	jew	spired helm		3	5000	cblu	cblu		1				ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		8	15	ease		-50	-50																						0
Crown of Ages	344	100	1		1	1	86	82	jew	corona		3	5000	dgld	dgld		1				balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50	sock		1	2																		0
Andariel's Visage	345	100	1		1	1	85	83	jew	demonhead		3	5000	dred	dred		1				ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	92	15	15	charged	278	20	3	lifesteal		8	10	res-fire		-30	-30										0
Darkfear	346	100			1	1	0	0	cm1	charm		5	5000	blac			1				oskill	Teleport	25	25	mana		500	500	mana%		100	100	Regen-mana		500	500	aura-display	Meditation	60	60	gethit-skill	Decrepify	100	60	state	seventombs	1	1	aura-display	Cleansing	60	60	oskill	Immunity	1	1	oskill	Charge	25	25	dmg		800	800						0
Dragonscale	347	100	1		1	1	84	80	jew	zakarum shield		3	5000	dgrn	dgrn		1				ac%		170	200	abs-fire%		10	20	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	10	10	extra-fire		15	15																						0
Steel Carapice	348	100	1		1	1	74	66	jew	shadow plate		3	5000	dgry	dgry		1				ac%		190	220	balance2		20	20	red-dmg		9	14	res-cold		40	60	regen-mana		10	15	rep-dur	5			gethit-skill	Iron Maiden	8	6																						0
Medusa's Gaze	349	100	1		1	1	84	76	jew	aegis		3	5000	lred	lred		1				ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		5	9	death-skill	Nova	100	44	res-cold		40	80																										0
Ravenlore	350	100	1		1	1	82	74	jew	sky spirit		3	5000	dgld	dgld		1				ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																										0
Boneshade	351	100	1		1	1	84	79	jew	lich wand		3	5000	dgry	dgry		1				nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3																						0
Nethercrow	352	100			1	1			jew			3	5000	cblu	cblu		1																																																					0
Flamebellow	353	100	1		1	1	79	71	jew	balrog blade		3	5000	cred	cred		1				dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18																		0
Fathom	354	100	1		1	1	81	73	jew	dimensional shard		3	5000	lblu			1				sor		3	3	extra-cold		15	30	cast2		20	20	res-fire		25	40	res-ltng		25	40																														0
Wolfhowl	355	100	1		1	1	85	79	jew	fury visor		3	5000	cred	cred		1				ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	3	6	oskill	Feral Rage	3	6														0
Spirit Ward	356	100	1		1	1	76	68	jew	ward		3	5000	dblu	dblu		1				ac%		130	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		25	25	gethit-skill	Fade	5	8																										0
Kira's Guardian	357	100	1		1	1	85	77	jew	tiara		3	5000	blac	blac		1				ac		50	120	res-all		50	70	nofreeze		1	1	balance2		20	20																																		0
Ormus' Robes	358	100	1		1	1	83	75	jew	dusk shroud		3	5000	blac	blac		1				ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60																						0
Gheed's Fortune	359	100	1		1	1	70	62	cm3	charm	1	3	5000	lgld	lgld		1				mag%		20	40	gold%		80	160	cheap		10	15	charm-slots		3	3	aura	374	3	3	charm-slots-display		1	1																										0
Stormlash	360	100	1		1	1	86	82	jew	scourge		3	5000	dgry	dgry		1				dmg%		240	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		33	33	abs-ltng		3	9																		0
Halaberd's Reign	361	100	1		1	1	85	77	jew	conqueror crown		3	5000				1				ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	regen		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	2																						0
Warriv's Warder	362	100			1	1			jew			3	5000				1																																																					0
Spike Thorn	363	100	1		1	1	78	70	jew	blade barrier		5	5000	dyel	dyel		1				ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		15	20	sock		1	1																										0
Dracul's Grasp	364	100	1		1	1	84	76	jew	vampirebone gloves		5	5000	dred	dred		1				ac%		90	120	lifesteal		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																										0
Frostwind	365	100	1		1	1	78	70	jew	cryptic sword		5	5000	cblu	cblu		1				dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																						0
Templar's Might	366	100	1		1	1	82	74	jew	sacred armor		5	5000	cgrn	cgrn		1				ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		10	15	vit		10	15	skilltab	10	1	2																						0
Eschuta's temper	367	100	1		1	1	80	72	jew	eldritch orb		5	5000	cred			1				sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																														0
Firelizard's Talons	368	100	1		1	1	75	67	jew	feral claws		5	5000				1				dmg%		200	270	swing2		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Inferno Sentry	1	2																						0
Sandstorm Trek	369	100	1		1	1	72	64	jew	scarabshell boots		5	5000				1				ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	rep-dur	5			str		10	15	vit		10	15														0
Marrowwalk	370	100	1		1	1	74	66	jew	boneweave boots		5	5000	dgry			1				ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2										0
Heaven's Light	371	100	1		1	1	69	61	jew	mighty scepter		5	5000	cblu	cblu		1				dmg%		250	300	swing2		20	20	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		33	33	sock		1	3	pal		2	3																		0
Merman's Speed	372	100				1			jew								1																																																					0
Arachnid Mesh	373	100	1		1	1	87	80	jew	spiderweb sash		5	5000	blac	blac		1				ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																										0
Nosferatu's Coil	374	100	1		1	1	68	51	jew	vampirefang belt		5	5000				1				str		15	15	mana-kill		2	2	slow		10	10	lifesteal		5	7	swing2		10	10	light		-3	-3																										0
Metalgrid	375	100	1		1	1	85	81	jew	amulet		5	5000				1				ac		300	350	res-all		25	35	att		400	450	charged	IronGolem	11	22	charged	Iron Maiden	20	12																														0
Verdugo's Hearty Cord	376	100	1		1	1	71	63	jew	mithril coil		5	5000	blac	blac		1				ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	regen		10	13																										0
Sigurd's Staunch	377	100			1	1			jew			5	5000				1																																																					0
Carrion Wind	378	100	1		1	1	68	60	jew	ring		3	5000				1				ac-miss		100	160	lifesteal		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10																						0
Giantskull	379	100	1		1	1	73	65	jew	bone visage		3	5000	lgry	lgry		1				ac		250	320	str		25	35	crush		10	10	sock		1	2	knock		1	1																														0
Ironward	380	100	1		1	1	68	60	jew	caduceus		3	5000	blac	blac		1				dmg%		240	290	slow		25	25	att%		150	200	swing2		10	10	dmg-mag		80	240	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		33	33														0
Annihilus	381	100	1		1		110	70	cm1	charm	1	3	5000	blac		flpmss	invmss2	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10	aura	374	1	1	charm-slots		1	1	charm-slots-display		1	1																						0
Arioc's Needle	382	100	1		1	1	85	81	jew	hyperion spear		3	5000				1				dmg%		180	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																										0
Cranebeak	383	100	1		1	1	71	63	jew	war spike		3	5000	dgry			1				dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	charged	Raven	15	8																										0
Nord's Tenderizer	384	100	1		1	1	76	68	jew	truncheon		3	5000				1				dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																						0
Earthshifter	385	100	1		1	1	77	69	jew	thunder maul		3	5000				1				dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10																						0
Wraithflight	386	100	1		1	1	84	76	jew	ghost glaive		3	5000	dblu	dblu		1				dmg%		150	190	rep-quant	40			lifesteal		9	13	mana-kill		15	15	ethereal		1	1																														0
Bonehew	387	100	1		1	1	72	64	jew	ogre axe		3	5000	bwht	bwht		1				dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1	sock		2	2																										0
Ondal's Wisdom	388	100	1		1	1	74	66	jew	elder staff		3	5000				1				cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																										0
The Reedeemer	389	100	1		1	1	80	72	jew	mighty scepter		3	5000				1				dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120														0
Headhunter's Glory	390	100	1		1	1	83	75	jew	troll nest		3	5000				1				ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7																										0
Steelrend	391	100	1		1	1	78	70	jew	ogre gauntlets		3	5000				1				ac		170	210	str		15	20	dmg%		30	60	crush		10	10																																		0
Rainbow Facet	392	100	1		1	1	85	49	cm1	charm		3	5000	lyel	lyel						dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	393	100	1		1	1	85	49	cm1	charm		3	5000	cblu	cblu						dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	Blizzard	100	37	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	394	100	1		1	1	85	49	cm1	charm		3	5000	cred	cred						dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	Meteor	100	31	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	395	100	1		1	1	85	49	cm1	charm		3	5000	cgrn	cgrn						dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	396	100	1		1	1	85	49	cm1	charm		3	5000	lyel	lyel						dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	397	100	1		1	1	85	49	cm1	charm		3	5000	cblu	cblu						dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	398	100	1		1	1	85	49	cm1	charm		3	5000	cred	cred						dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Rainbow Facet	399	100	1		1	1	85	49	cm1	charm		3	5000	cgrn	cgrn						dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23	charm-slots		1	1	aura	374	1	1	charm-slots-display		1	1																						0
Hellfire Torch	400	100	1		1	1	99	75	cm2	charm	1	3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	6	all-stats		10	20	res-all		10	20	light		8	8	hit-skill	197	5	10	charged	Hydra	10	30	charm-slots		2	2	aura	374	2	2	charm-slots-display		1	1	torch-inv		1	1										0
Harlequin Crest Gift	401	100			1	1	1	30	uap	Shako		3	5000	cgrn	cgrn						red-dmg%		10	10	enr		2	2	hit-skill	121	6	7	vit		2	2	dmg%		180	230	abyssal-display		2	10	death-skill	Chain Lightning	100	44	crush		40	50	ac/lvl	16			str		20	20	red-mag		7	7	hp		50	50		0
