description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Eld Holder Deposit 10	1			100					11	R02	r02,qty=10						useitem				keyholder-quant			10	10																																																																															0
Eld Holder Deposit 11	1			100					12	R02	r02,qty=11						useitem				keyholder-quant			11	11																																																																															0
Tir Holder Create	1			100					2	r03	key						R03																																																																																							0
Tir Holder Withdraw	1			100	17	369	0		1	R03							useitem				keyholder-quant			-1	-1																					r03																																																										0
Tir Holder Deposit 1	1			100					2	R03	r03						useitem				keyholder-quant			1	1																																																																															0
Tir Holder Deposit 2	1			100					3	R03	r03,qty=2						useitem				keyholder-quant			2	2																																																																															0
Tir Holder Deposit 3	1			100					4	R03	r03,qty=3						useitem				keyholder-quant			3	3																																																																															0
Tir Holder Deposit 4	1			100					5	R03	r03,qty=4						useitem				keyholder-quant			4	4																																																																															0
Tir Holder Deposit 5	1			100					6	R03	r03,qty=5						useitem				keyholder-quant			5	5																																																																															0
Tir Holder Deposit 6	1			100					7	R03	r03,qty=6						useitem				keyholder-quant			6	6																																																																															0
Tir Holder Deposit 7	1			100					8	R03	r03,qty=7						useitem				keyholder-quant			7	7																																																																															0
Tir Holder Deposit 8	1			100					9	R03	r03,qty=8						useitem				keyholder-quant			8	8																																																																															0
Tir Holder Deposit 9	1			100					10	R03	r03,qty=9						useitem				keyholder-quant			9	9																																																																															0
Tir Holder Deposit 10	1			100					11	R03	r03,qty=10						useitem				keyholder-quant			10	10																																																																															0
Tir Holder Deposit 11	1			100					12	R03	r03,qty=11						useitem				keyholder-quant			11	11																																																																															0
Nef Holder Create	1			100					2	r04	key						R04																																																																																							0
Nef Holder Withdraw	1			100	17	369	0		1	R04							useitem				keyholder-quant			-1	-1																					r04																																																										0
Nef Holder Deposit 1	1			100					2	R04	r04						useitem				keyholder-quant			1	1																																																																															0
Nef Holder Deposit 2	1			100					3	R04	r04,qty=2						useitem				keyholder-quant			2	2																																																																															0
Nef Holder Deposit 3	1			100					4	R04	r04,qty=3						useitem				keyholder-quant			3	3																																																																															0
Nef Holder Deposit 4	1			100					5	R04	r04,qty=4						useitem				keyholder-quant			4	4																																																																															0
Nef Holder Deposit 5	1			100					6	R04	r04,qty=5						useitem				keyholder-quant			5	5																																																																															0
Nef Holder Deposit 6	1			100					7	R04	r04,qty=6						useitem				keyholder-quant			6	6																																																																															0
Nef Holder Deposit 7	1			100					8	R04	r04,qty=7						useitem				keyholder-quant			7	7																																																																															0
Nef Holder Deposit 8	1			100					9	R04	r04,qty=8						useitem				keyholder-quant			8	8																																																																															0
Nef Holder Deposit 9	1			100					10	R04	r04,qty=9						useitem				keyholder-quant			9	9																																																																															0
Nef Holder Deposit 10	1			100					11	R04	r04,qty=10						useitem				keyholder-quant			10	10																																																																															0
Nef Holder Deposit 11	1			100					12	R04	r04,qty=11						useitem				keyholder-quant			11	11																																																																															0
Eth Holder Create	1			100					2	r05	key						R05																																																																																							0
Eth Holder Withdraw	1			100	17	369	0		1	R05							useitem				keyholder-quant			-1	-1																					r05																																																										0
Eth Holder Deposit 1	1			100					2	R05	r05						useitem				keyholder-quant			1	1																																																																															0
Eth Holder Deposit 2	1			100					3	R05	r05,qty=2						useitem				keyholder-quant			2	2																																																																															0
Eth Holder Deposit 3	1			100					4	R05	r05,qty=3						useitem				keyholder-quant			3	3																																																																															0
Eth Holder Deposit 4	1			100					5	R05	r05,qty=4						useitem				keyholder-quant			4	4																																																																															0
Eth Holder Deposit 5	1			100					6	R05	r05,qty=5						useitem				keyholder-quant			5	5																																																																															0
Eth Holder Deposit 6	1			100					7	R05	r05,qty=6						useitem				keyholder-quant			6	6																																																																															0
Eth Holder Deposit 7	1			100					8	R05	r05,qty=7						useitem				keyholder-quant			7	7																																																																															0
Eth Holder Deposit 8	1			100					9	R05	r05,qty=8						useitem				keyholder-quant			8	8																																																																															0
Eth Holder Deposit 9	1			100					10	R05	r05,qty=9						useitem				keyholder-quant			9	9																																																																															0
Eth Holder Deposit 10	1			100					11	R05	r05,qty=10						useitem				keyholder-quant			10	10																																																																															0
Eth Holder Deposit 11	1			100					12	R05	r05,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ith Holder Create	1			100					2	r06	key						R06																																																																																							0
Ith Holder Withdraw	1			100	17	369	0		1	R06							useitem				keyholder-quant			-1	-1																					r06																																																										0
Ith Holder Deposit 1	1			100					2	R06	r06						useitem				keyholder-quant			1	1																																																																															0
Ith Holder Deposit 2	1			100					3	R06	r06,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ith Holder Deposit 3	1			100					4	R06	r06,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ith Holder Deposit 4	1			100					5	R06	r06,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ith Holder Deposit 5	1			100					6	R06	r06,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ith Holder Deposit 6	1			100					7	R06	r06,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ith Holder Deposit 7	1			100					8	R06	r06,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ith Holder Deposit 8	1			100					9	R06	r06,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ith Holder Deposit 9	1			100					10	R06	r06,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ith Holder Deposit 10	1			100					11	R06	r06,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ith Holder Deposit 11	1			100					12	R06	r06,qty=11						useitem				keyholder-quant			11	11																																																																															0
Tal Holder Create	1			100					2	r07	key						R07																																																																																							0
Tal Holder Withdraw	1			100	17	369	0		1	R07							useitem				keyholder-quant			-1	-1																					r07																																																										0
Tal Holder Deposit 1	1			100					2	R07	r07						useitem				keyholder-quant			1	1																																																																															0
Tal Holder Deposit 2	1			100					3	R07	r07,qty=2						useitem				keyholder-quant			2	2																																																																															0
Tal Holder Deposit 3	1			100					4	R07	r07,qty=3						useitem				keyholder-quant			3	3																																																																															0
Tal Holder Deposit 4	1			100					5	R07	r07,qty=4						useitem				keyholder-quant			4	4																																																																															0
Tal Holder Deposit 5	1			100					6	R07	r07,qty=5						useitem				keyholder-quant			5	5																																																																															0
Tal Holder Deposit 6	1			100					7	R07	r07,qty=6						useitem				keyholder-quant			6	6																																																																															0
Tal Holder Deposit 7	1			100					8	R07	r07,qty=7						useitem				keyholder-quant			7	7																																																																															0
Tal Holder Deposit 8	1			100					9	R07	r07,qty=8						useitem				keyholder-quant			8	8																																																																															0
Tal Holder Deposit 9	1			100					10	R07	r07,qty=9						useitem				keyholder-quant			9	9																																																																															0
Tal Holder Deposit 10	1			100					11	R07	r07,qty=10						useitem				keyholder-quant			10	10																																																																															0
Tal Holder Deposit 11	1			100					12	R07	r07,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ral Holder Create	1			100					2	r08	key						R08																																																																																							0
Ral Holder Withdraw	1			100	17	369	0		1	R08							useitem				keyholder-quant			-1	-1																					r08																																																										0
Ral Holder Deposit 1	1			100					2	R08	r08						useitem				keyholder-quant			1	1																																																																															0
Ral Holder Deposit 2	1			100					3	R08	r08,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ral Holder Deposit 3	1			100					4	R08	r08,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ral Holder Deposit 4	1			100					5	R08	r08,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ral Holder Deposit 5	1			100					6	R08	r08,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ral Holder Deposit 6	1			100					7	R08	r08,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ral Holder Deposit 7	1			100					8	R08	r08,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ral Holder Deposit 8	1			100					9	R08	r08,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ral Holder Deposit 9	1			100					10	R08	r08,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ral Holder Deposit 10	1			100					11	R08	r08,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ral Holder Deposit 11	1			100					12	R08	r08,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ort Holder Create	1			100					2	r09	key						R09																																																																																							0
Ort Holder Withdraw	1			100	17	369	0		1	R09							useitem				keyholder-quant			-1	-1																					r09																																																										0
Ort Holder Deposit 1	1			100					2	R09	r09						useitem				keyholder-quant			1	1																																																																															0
Ort Holder Deposit 2	1			100					3	R09	r09,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ort Holder Deposit 3	1			100					4	R09	r09,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ort Holder Deposit 4	1			100					5	R09	r09,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ort Holder Deposit 5	1			100					6	R09	r09,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ort Holder Deposit 6	1			100					7	R09	r09,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ort Holder Deposit 7	1			100					8	R09	r09,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ort Holder Deposit 8	1			100					9	R09	r09,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ort Holder Deposit 9	1			100					10	R09	r09,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ort Holder Deposit 10	1			100					11	R09	r09,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ort Holder Deposit 11	1			100					12	R09	r09,qty=11						useitem				keyholder-quant			11	11																																																																															0
Thul Holder Create	1			100					2	r10	key						R10																																																																																							0
Thul Holder Withdraw	1			100	17	369	0		1	R10							useitem				keyholder-quant			-1	-1																					r10																																																										0
Thul Holder Deposit 1	1			100					2	R10	r10						useitem				keyholder-quant			1	1																																																																															0
Thul Holder Deposit 2	1			100					3	R10	r10,qty=2						useitem				keyholder-quant			2	2																																																																															0
Thul Holder Deposit 3	1			100					4	R10	r10,qty=3						useitem				keyholder-quant			3	3																																																																															0
Thul Holder Deposit 4	1			100					5	R10	r10,qty=4						useitem				keyholder-quant			4	4																																																																															0
Thul Holder Deposit 5	1			100					6	R10	r10,qty=5						useitem				keyholder-quant			5	5																																																																															0
Thul Holder Deposit 6	1			100					7	R10	r10,qty=6						useitem				keyholder-quant			6	6																																																																															0
Thul Holder Deposit 7	1			100					8	R10	r10,qty=7						useitem				keyholder-quant			7	7																																																																															0
Thul Holder Deposit 8	1			100					9	R10	r10,qty=8						useitem				keyholder-quant			8	8																																																																															0
Thul Holder Deposit 9	1			100					10	R10	r10,qty=9						useitem				keyholder-quant			9	9																																																																															0
Thul Holder Deposit 10	1			100					11	R10	r10,qty=10						useitem				keyholder-quant			10	10																																																																															0
Thul Holder Deposit 11	1			100					12	R10	r10,qty=11						useitem				keyholder-quant			11	11																																																																															0
Amn Holder Create	1			100					2	r11	key						R11																																																																																							0
Amn Holder Withdraw	1			100	17	369	0		1	R11							useitem				keyholder-quant			-1	-1																					r11																																																										0
Amn Holder Deposit 1	1			100					2	R11	r11						useitem				keyholder-quant			1	1																																																																															0
Amn Holder Deposit 2	1			100					3	R11	r11,qty=2						useitem				keyholder-quant			2	2																																																																															0
Amn Holder Deposit 3	1			100					4	R11	r11,qty=3						useitem				keyholder-quant			3	3																																																																															0
Amn Holder Deposit 4	1			100					5	R11	r11,qty=4						useitem				keyholder-quant			4	4																																																																															0
Amn Holder Deposit 5	1			100					6	R11	r11,qty=5						useitem				keyholder-quant			5	5																																																																															0
Amn Holder Deposit 6	1			100					7	R11	r11,qty=6						useitem				keyholder-quant			6	6																																																																															0
Amn Holder Deposit 7	1			100					8	R11	r11,qty=7						useitem				keyholder-quant			7	7																																																																															0
Amn Holder Deposit 8	1			100					9	R11	r11,qty=8						useitem				keyholder-quant			8	8																																																																															0
Amn Holder Deposit 9	1			100					10	R11	r11,qty=9						useitem				keyholder-quant			9	9																																																																															0
Amn Holder Deposit 10	1			100					11	R11	r11,qty=10						useitem				keyholder-quant			10	10																																																																															0
Amn Holder Deposit 11	1			100					12	R11	r11,qty=11						useitem				keyholder-quant			11	11																																																																															0
Sol Holder Create	1			100					2	r12	key						R12																																																																																							0
Sol Holder Withdraw	1			100	17	369	0		1	R12							useitem				keyholder-quant			-1	-1																					r12																																																										0
Sol Holder Deposit 1	1			100					2	R12	r12						useitem				keyholder-quant			1	1																																																																															0
Sol Holder Deposit 2	1			100					3	R12	r12,qty=2						useitem				keyholder-quant			2	2																																																																															0
Sol Holder Deposit 3	1			100					4	R12	r12,qty=3						useitem				keyholder-quant			3	3																																																																															0
Sol Holder Deposit 4	1			100					5	R12	r12,qty=4						useitem				keyholder-quant			4	4																																																																															0
Sol Holder Deposit 5	1			100					6	R12	r12,qty=5						useitem				keyholder-quant			5	5																																																																															0
Sol Holder Deposit 6	1			100					7	R12	r12,qty=6						useitem				keyholder-quant			6	6																																																																															0
Sol Holder Deposit 7	1			100					8	R12	r12,qty=7						useitem				keyholder-quant			7	7																																																																															0
Sol Holder Deposit 8	1			100					9	R12	r12,qty=8						useitem				keyholder-quant			8	8																																																																															0
Sol Holder Deposit 9	1			100					10	R12	r12,qty=9						useitem				keyholder-quant			9	9																																																																															0
Sol Holder Deposit 10	1			100					11	R12	r12,qty=10						useitem				keyholder-quant			10	10																																																																															0
Sol Holder Deposit 11	1			100					12	R12	r12,qty=11						useitem				keyholder-quant			11	11																																																																															0
Shael Holder Create	1			100					2	r13	key						R13																																																																																							0
Shael Holder Withdraw	1			100	17	369	0		1	R13							useitem				keyholder-quant			-1	-1																					r13																																																										0
Shael Holder Deposit 1	1			100					2	R13	r13						useitem				keyholder-quant			1	1																																																																															0
Shael Holder Deposit 2	1			100					3	R13	r13,qty=2						useitem				keyholder-quant			2	2																																																																															0
Shael Holder Deposit 3	1			100					4	R13	r13,qty=3						useitem				keyholder-quant			3	3																																																																															0
Shael Holder Deposit 4	1			100					5	R13	r13,qty=4						useitem				keyholder-quant			4	4																																																																															0
Shael Holder Deposit 5	1			100					6	R13	r13,qty=5						useitem				keyholder-quant			5	5																																																																															0
Shael Holder Deposit 6	1			100					7	R13	r13,qty=6						useitem				keyholder-quant			6	6																																																																															0
Shael Holder Deposit 7	1			100					8	R13	r13,qty=7						useitem				keyholder-quant			7	7																																																																															0
Shael Holder Deposit 8	1			100					9	R13	r13,qty=8						useitem				keyholder-quant			8	8																																																																															0
Shael Holder Deposit 9	1			100					10	R13	r13,qty=9						useitem				keyholder-quant			9	9																																																																															0
Shael Holder Deposit 10	1			100					11	R13	r13,qty=10						useitem				keyholder-quant			10	10																																																																															0
Shael Holder Deposit 11	1			100					12	R13	r13,qty=11						useitem				keyholder-quant			11	11																																																																															0
Dol Holder Create	1			100					2	r14	key						R14																																																																																							0
Dol Holder Withdraw	1			100	17	369	0		1	R14							useitem				keyholder-quant			-1	-1																					r14																																																										0
Dol Holder Deposit 1	1			100					2	R14	r14						useitem				keyholder-quant			1	1																																																																															0
Dol Holder Deposit 2	1			100					3	R14	r14,qty=2						useitem				keyholder-quant			2	2																																																																															0
Dol Holder Deposit 3	1			100					4	R14	r14,qty=3						useitem				keyholder-quant			3	3																																																																															0
Dol Holder Deposit 4	1			100					5	R14	r14,qty=4						useitem				keyholder-quant			4	4																																																																															0
Dol Holder Deposit 5	1			100					6	R14	r14,qty=5						useitem				keyholder-quant			5	5																																																																															0
Dol Holder Deposit 6	1			100					7	R14	r14,qty=6						useitem				keyholder-quant			6	6																																																																															0
Dol Holder Deposit 7	1			100					8	R14	r14,qty=7						useitem				keyholder-quant			7	7																																																																															0
Dol Holder Deposit 8	1			100					9	R14	r14,qty=8						useitem				keyholder-quant			8	8																																																																															0
Dol Holder Deposit 9	1			100					10	R14	r14,qty=9						useitem				keyholder-quant			9	9																																																																															0
Dol Holder Deposit 10	1			100					11	R14	r14,qty=10						useitem				keyholder-quant			10	10																																																																															0
Dol Holder Deposit 11	1			100					12	R14	r14,qty=11						useitem				keyholder-quant			11	11																																																																															0
Hel Holder Create	1			100					2	r15	key						R15																																																																																							0
Hel Holder Withdraw	1			100	17	369	0		1	R15							useitem				keyholder-quant			-1	-1																					r15																																																										0
Hel Holder Deposit 1	1			100					2	R15	r15						useitem				keyholder-quant			1	1																																																																															0
Hel Holder Deposit 2	1			100					3	R15	r15,qty=2						useitem				keyholder-quant			2	2																																																																															0
Hel Holder Deposit 3	1			100					4	R15	r15,qty=3						useitem				keyholder-quant			3	3																																																																															0
Hel Holder Deposit 4	1			100					5	R15	r15,qty=4						useitem				keyholder-quant			4	4																																																																															0
Hel Holder Deposit 5	1			100					6	R15	r15,qty=5						useitem				keyholder-quant			5	5																																																																															0
Hel Holder Deposit 6	1			100					7	R15	r15,qty=6						useitem				keyholder-quant			6	6																																																																															0
Hel Holder Deposit 7	1			100					8	R15	r15,qty=7						useitem				keyholder-quant			7	7																																																																															0
Hel Holder Deposit 8	1			100					9	R15	r15,qty=8						useitem				keyholder-quant			8	8																																																																															0
Hel Holder Deposit 9	1			100					10	R15	r15,qty=9						useitem				keyholder-quant			9	9																																																																															0
Hel Holder Deposit 10	1			100					11	R15	r15,qty=10						useitem				keyholder-quant			10	10																																																																															0
Hel Holder Deposit 11	1			100					12	R15	r15,qty=11						useitem				keyholder-quant			11	11																																																																															0
Io Holder Create	1			100					2	r16	key						R16																																																																																							0
Io Holder Withdraw	1			100	17	369	0		1	R16							useitem				keyholder-quant			-1	-1																					r16																																																										0
Io Holder Deposit 1	1			100					2	R16	r16						useitem				keyholder-quant			1	1																																																																															0
Io Holder Deposit 2	1			100					3	R16	r16,qty=2						useitem				keyholder-quant			2	2																																																																															0
Io Holder Deposit 3	1			100					4	R16	r16,qty=3						useitem				keyholder-quant			3	3																																																																															0
Io Holder Deposit 4	1			100					5	R16	r16,qty=4						useitem				keyholder-quant			4	4																																																																															0
Io Holder Deposit 5	1			100					6	R16	r16,qty=5						useitem				keyholder-quant			5	5																																																																															0
Io Holder Deposit 6	1			100					7	R16	r16,qty=6						useitem				keyholder-quant			6	6																																																																															0
Io Holder Deposit 7	1			100					8	R16	r16,qty=7						useitem				keyholder-quant			7	7																																																																															0
Io Holder Deposit 8	1			100					9	R16	r16,qty=8						useitem				keyholder-quant			8	8																																																																															0
Io Holder Deposit 9	1			100					10	R16	r16,qty=9						useitem				keyholder-quant			9	9																																																																															0
Io Holder Deposit 10	1			100					11	R16	r16,qty=10						useitem				keyholder-quant			10	10																																																																															0
Io Holder Deposit 11	1			100					12	R16	r16,qty=11						useitem				keyholder-quant			11	11																																																																															0
Lum Holder Create	1			100					2	r17	key						R17																																																																																							0
Lum Holder Withdraw	1			100	17	369	0		1	R17							useitem				keyholder-quant			-1	-1																					r17																																																										0
Lum Holder Deposit 1	1			100					2	R17	r17						useitem				keyholder-quant			1	1																																																																															0
Lum Holder Deposit 2	1			100					3	R17	r17,qty=2						useitem				keyholder-quant			2	2																																																																															0
Lum Holder Deposit 3	1			100					4	R17	r17,qty=3						useitem				keyholder-quant			3	3																																																																															0
Lum Holder Deposit 4	1			100					5	R17	r17,qty=4						useitem				keyholder-quant			4	4																																																																															0
Lum Holder Deposit 5	1			100					6	R17	r17,qty=5						useitem				keyholder-quant			5	5																																																																															0
Lum Holder Deposit 6	1			100					7	R17	r17,qty=6						useitem				keyholder-quant			6	6																																																																															0
Lum Holder Deposit 7	1			100					8	R17	r17,qty=7						useitem				keyholder-quant			7	7																																																																															0
Lum Holder Deposit 8	1			100					9	R17	r17,qty=8						useitem				keyholder-quant			8	8																																																																															0
Lum Holder Deposit 9	1			100					10	R17	r17,qty=9						useitem				keyholder-quant			9	9																																																																															0
Lum Holder Deposit 10	1			100					11	R17	r17,qty=10						useitem				keyholder-quant			10	10																																																																															0
Lum Holder Deposit 11	1			100					12	R17	r17,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ko Holder Create	1			100					2	r18	key						R18																																																																																							0
Ko Holder Withdraw	1			100	17	369	0		1	R18							useitem				keyholder-quant			-1	-1																					r18																																																										0
Ko Holder Deposit 1	1			100					2	R18	r18						useitem				keyholder-quant			1	1																																																																															0
Ko Holder Deposit 2	1			100					3	R18	r18,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ko Holder Deposit 3	1			100					4	R18	r18,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ko Holder Deposit 4	1			100					5	R18	r18,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ko Holder Deposit 5	1			100					6	R18	r18,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ko Holder Deposit 6	1			100					7	R18	r18,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ko Holder Deposit 7	1			100					8	R18	r18,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ko Holder Deposit 8	1			100					9	R18	r18,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ko Holder Deposit 9	1			100					10	R18	r18,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ko Holder Deposit 10	1			100					11	R18	r18,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ko Holder Deposit 11	1			100					12	R18	r18,qty=11						useitem				keyholder-quant			11	11																																																																															0
Fal Holder Create	1			100					2	r19	key						R19																																																																																							0
Fal Holder Withdraw	1			100	17	369	0		1	R19							useitem				keyholder-quant			-1	-1																					r19																																																										0
Fal Holder Deposit 1	1			100					2	R19	r19						useitem				keyholder-quant			1	1																																																																															0
Fal Holder Deposit 2	1			100					3	R19	r19,qty=2						useitem				keyholder-quant			2	2																																																																															0
Fal Holder Deposit 3	1			100					4	R19	r19,qty=3						useitem				keyholder-quant			3	3																																																																															0
Fal Holder Deposit 4	1			100					5	R19	r19,qty=4						useitem				keyholder-quant			4	4																																																																															0
Fal Holder Deposit 5	1			100					6	R19	r19,qty=5						useitem				keyholder-quant			5	5																																																																															0
Fal Holder Deposit 6	1			100					7	R19	r19,qty=6						useitem				keyholder-quant			6	6																																																																															0
Fal Holder Deposit 7	1			100					8	R19	r19,qty=7						useitem				keyholder-quant			7	7																																																																															0
Fal Holder Deposit 8	1			100					9	R19	r19,qty=8						useitem				keyholder-quant			8	8																																																																															0
Fal Holder Deposit 9	1			100					10	R19	r19,qty=9						useitem				keyholder-quant			9	9																																																																															0
Fal Holder Deposit 10	1			100					11	R19	r19,qty=10						useitem				keyholder-quant			10	10																																																																															0
Fal Holder Deposit 11	1			100					12	R19	r19,qty=11						useitem				keyholder-quant			11	11																																																																															0
Lem Holder Create	1			100					2	r20	key						R20																																																																																							0
Lem Holder Withdraw	1			100	17	369	0		1	R20							useitem				keyholder-quant			-1	-1																					r20																																																										0
Lem Holder Deposit 1	1			100					2	R20	r20						useitem				keyholder-quant			1	1																																																																															0
Lem Holder Deposit 2	1			100					3	R20	r20,qty=2						useitem				keyholder-quant			2	2																																																																															0
Lem Holder Deposit 3	1			100					4	R20	r20,qty=3						useitem				keyholder-quant			3	3																																																																															0
Lem Holder Deposit 4	1			100					5	R20	r20,qty=4						useitem				keyholder-quant			4	4																																																																															0
Lem Holder Deposit 5	1			100					6	R20	r20,qty=5						useitem				keyholder-quant			5	5																																																																															0
Lem Holder Deposit 6	1			100					7	R20	r20,qty=6						useitem				keyholder-quant			6	6																																																																															0
Lem Holder Deposit 7	1			100					8	R20	r20,qty=7						useitem				keyholder-quant			7	7																																																																															0
Lem Holder Deposit 8	1			100					9	R20	r20,qty=8						useitem				keyholder-quant			8	8																																																																															0
Lem Holder Deposit 9	1			100					10	R20	r20,qty=9						useitem				keyholder-quant			9	9																																																																															0
Lem Holder Deposit 10	1			100					11	R20	r20,qty=10						useitem				keyholder-quant			10	10																																																																															0
Lem Holder Deposit 11	1			100					12	R20	r20,qty=11						useitem				keyholder-quant			11	11																																																																															0
Pul Holder Create	1			100					2	r21	key						R21																																																																																							0
Pul Holder Withdraw	1			100	17	369	0		1	R21							useitem				keyholder-quant			-1	-1																					r21																																																										0
Pul Holder Deposit 1	1			100					2	R21	r21						useitem				keyholder-quant			1	1																																																																															0
Pul Holder Deposit 2	1			100					3	R21	r21,qty=2						useitem				keyholder-quant			2	2																																																																															0
Pul Holder Deposit 3	1			100					4	R21	r21,qty=3						useitem				keyholder-quant			3	3																																																																															0
Pul Holder Deposit 4	1			100					5	R21	r21,qty=4						useitem				keyholder-quant			4	4																																																																															0
Pul Holder Deposit 5	1			100					6	R21	r21,qty=5						useitem				keyholder-quant			5	5																																																																															0
Pul Holder Deposit 6	1			100					7	R21	r21,qty=6						useitem				keyholder-quant			6	6																																																																															0
Pul Holder Deposit 7	1			100					8	R21	r21,qty=7						useitem				keyholder-quant			7	7																																																																															0
Pul Holder Deposit 8	1			100					9	R21	r21,qty=8						useitem				keyholder-quant			8	8																																																																															0
Pul Holder Deposit 9	1			100					10	R21	r21,qty=9						useitem				keyholder-quant			9	9																																																																															0
Pul Holder Deposit 10	1			100					11	R21	r21,qty=10						useitem				keyholder-quant			10	10																																																																															0
Pul Holder Deposit 11	1			100					12	R21	r21,qty=11						useitem				keyholder-quant			11	11																																																																															0
Um Holder Create	1			100					2	r22	key						R22																																																																																							0
Um Holder Withdraw	1			100	17	369	0		1	R22							useitem				keyholder-quant			-1	-1																					r22																																																										0
Um Holder Deposit 1	1			100					2	R22	r22						useitem				keyholder-quant			1	1																																																																															0
Um Holder Deposit 2	1			100					3	R22	r22,qty=2						useitem				keyholder-quant			2	2																																																																															0
Um Holder Deposit 3	1			100					4	R22	r22,qty=3						useitem				keyholder-quant			3	3																																																																															0
Um Holder Deposit 4	1			100					5	R22	r22,qty=4						useitem				keyholder-quant			4	4																																																																															0
Um Holder Deposit 5	1			100					6	R22	r22,qty=5						useitem				keyholder-quant			5	5																																																																															0
Um Holder Deposit 6	1			100					7	R22	r22,qty=6						useitem				keyholder-quant			6	6																																																																															0
Um Holder Deposit 7	1			100					8	R22	r22,qty=7						useitem				keyholder-quant			7	7																																																																															0
Um Holder Deposit 8	1			100					9	R22	r22,qty=8						useitem				keyholder-quant			8	8																																																																															0
Um Holder Deposit 9	1			100					10	R22	r22,qty=9						useitem				keyholder-quant			9	9																																																																															0
Um Holder Deposit 10	1			100					11	R22	r22,qty=10						useitem				keyholder-quant			10	10																																																																															0
Um Holder Deposit 11	1			100					12	R22	r22,qty=11						useitem				keyholder-quant			11	11																																																																															0
Mal Holder Create	1			100					2	r23	key						R23																																																																																							0
Mal Holder Withdraw	1			100	17	369	0		1	R23							useitem				keyholder-quant			-1	-1																					r23																																																										0
Mal Holder Deposit 1	1			100					2	R23	r23						useitem				keyholder-quant			1	1																																																																															0
Mal Holder Deposit 2	1			100					3	R23	r23,qty=2						useitem				keyholder-quant			2	2																																																																															0
